Reset report and wrote header to /home/ubuntu/.cache/nanochat/report/header.md

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
GPU: NVIDIA A100-SXM4-80GB | Peak FLOPS (BF16): 3.12e+14
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 80 (bf16 supported))
✓ Using Flash Attention 3, efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 12,
  "n_head": 6,
  "n_kv_head": 6,
  "n_embd": 768,
  "window_pattern": "SSSL"
}
Parameter counts:
wte                     : 25,165,824
value_embeds            : 150,994,944
lm_head                 : 25,165,824
transformer_matrices    : 84,935,088
scalars                 : 50
total                   : 286,261,730
Estimated FLOPs per token: 7.596959e+08
Auto-computed optimal batch size: 524,288 tokens
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
Calculated number of iterations from target data:param ratio: 1,680
Total number of training tokens: 880,803,840
Tokens : Scaling params ratio: 8.00
Total training FLOPs estimate: 6.691431e+17
Tokens / micro-batch / rank: 64 x 2048 = 131,072
Tokens / micro-batch: 131,072
Total batch size 524,288 => gradient accumulation steps: 4
Step 00000 | Validation bpb: 3.176160
step 00000/01680 (0.00%) | loss: 10.397434 | lrm: 0.03 | dt: 20672.00ms | tok/sec: 25,362 | bf16_mfu: 6.18 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/01680 (0.06%) | loss: 10.384665 | lrm: 0.05 | dt: 2107.98ms | tok/sec: 248,715 | bf16_mfu: 60.56 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00002/01680 (0.12%) | loss: 10.362583 | lrm: 0.07 | dt: 2108.31ms | tok/sec: 248,676 | bf16_mfu: 60.55 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00003/01680 (0.18%) | loss: 10.329332 | lrm: 0.10 | dt: 2105.65ms | tok/sec: 248,991 | bf16_mfu: 60.63 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00004/01680 (0.24%) | loss: 10.280200 | lrm: 0.12 | dt: 2112.95ms | tok/sec: 248,131 | bf16_mfu: 60.42 | epoch: 1 pq: 0 rg: 4 | total time: 0.00m
step 00005/01680 (0.30%) | loss: 10.209696 | lrm: 0.15 | dt: 2108.70ms | tok/sec: 248,630 | bf16_mfu: 60.54 | epoch: 1 pq: 0 rg: 5 | total time: 0.00m
step 00006/01680 (0.36%) | loss: 10.104397 | lrm: 0.17 | dt: 2109.46ms | tok/sec: 248,541 | bf16_mfu: 60.52 | epoch: 1 pq: 0 rg: 6 | total time: 0.00m
step 00007/01680 (0.42%) | loss: 9.948565 | lrm: 0.20 | dt: 2107.37ms | tok/sec: 248,787 | bf16_mfu: 60.58 | epoch: 1 pq: 0 rg: 7 | total time: 0.00m
step 00008/01680 (0.48%) | loss: 9.712181 | lrm: 0.23 | dt: 2105.58ms | tok/sec: 248,999 | bf16_mfu: 60.63 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00009/01680 (0.54%) | loss: 9.423348 | lrm: 0.25 | dt: 2102.60ms | tok/sec: 249,352 | bf16_mfu: 60.72 | epoch: 1 pq: 0 rg: 9 | total time: 0.00m
step 00010/01680 (0.60%) | loss: 9.112557 | lrm: 0.28 | dt: 2105.28ms | tok/sec: 249,034 | bf16_mfu: 60.64 | epoch: 1 pq: 0 rg: 10 | total time: 0.00m
step 00011/01680 (0.65%) | loss: 8.826340 | lrm: 0.30 | dt: 2097.68ms | tok/sec: 249,937 | bf16_mfu: 60.86 | epoch: 1 pq: 0 rg: 11 | total time: 0.03m | eta: 58.4m
step 00012/01680 (0.71%) | loss: 8.562192 | lrm: 0.33 | dt: 2100.53ms | tok/sec: 249,598 | bf16_mfu: 60.78 | epoch: 1 pq: 0 rg: 12 | total time: 0.07m | eta: 58.4m
step 00013/01680 (0.77%) | loss: 8.330155 | lrm: 0.35 | dt: 2108.76ms | tok/sec: 248,623 | bf16_mfu: 60.54 | epoch: 1 pq: 0 rg: 13 | total time: 0.11m | eta: 58.4m
step 00014/01680 (0.83%) | loss: 8.122798 | lrm: 0.38 | dt: 2108.67ms | tok/sec: 248,633 | bf16_mfu: 60.54 | epoch: 1 pq: 0 rg: 14 | total time: 0.14m | eta: 58.4m
step 00015/01680 (0.89%) | loss: 7.923605 | lrm: 0.40 | dt: 2110.28ms | tok/sec: 248,445 | bf16_mfu: 60.49 | epoch: 1 pq: 0 rg: 15 | total time: 0.18m | eta: 58.4m
step 00016/01680 (0.95%) | loss: 7.753175 | lrm: 0.42 | dt: 2106.34ms | tok/sec: 248,908 | bf16_mfu: 60.61 | epoch: 1 pq: 0 rg: 15 | total time: 0.21m | eta: 58.4m
step 00017/01680 (1.01%) | loss: 7.591165 | lrm: 0.45 | dt: 2106.82ms | tok/sec: 248,853 | bf16_mfu: 60.59 | epoch: 1 pq: 0 rg: 16 | total time: 0.25m | eta: 58.4m
step 00018/01680 (1.07%) | loss: 7.440367 | lrm: 0.47 | dt: 2107.65ms | tok/sec: 248,754 | bf16_mfu: 60.57 | epoch: 1 pq: 0 rg: 17 | total time: 0.28m | eta: 58.3m
step 00019/01680 (1.13%) | loss: 7.302712 | lrm: 0.50 | dt: 2106.02ms | tok/sec: 248,947 | bf16_mfu: 60.62 | epoch: 1 pq: 0 rg: 18 | total time: 0.32m | eta: 58.3m
step 00020/01680 (1.19%) | loss: 7.175715 | lrm: 0.53 | dt: 2108.70ms | tok/sec: 248,630 | bf16_mfu: 60.54 | epoch: 1 pq: 0 rg: 19 | total time: 0.35m | eta: 58.3m
step 00021/01680 (1.25%) | loss: 7.057187 | lrm: 0.55 | dt: 2104.00ms | tok/sec: 249,186 | bf16_mfu: 60.67 | epoch: 1 pq: 0 rg: 20 | total time: 0.39m | eta: 58.2m
step 00022/01680 (1.31%) | loss: 6.948817 | lrm: 0.57 | dt: 2111.02ms | tok/sec: 248,358 | bf16_mfu: 60.47 | epoch: 1 pq: 0 rg: 21 | total time: 0.42m | eta: 58.2m
step 00023/01680 (1.37%) | loss: 6.852149 | lrm: 0.60 | dt: 2104.95ms | tok/sec: 249,073 | bf16_mfu: 60.65 | epoch: 1 pq: 0 rg: 22 | total time: 0.46m | eta: 58.2m
step 00024/01680 (1.43%) | loss: 6.755489 | lrm: 0.62 | dt: 2105.96ms | tok/sec: 248,954 | bf16_mfu: 60.62 | epoch: 1 pq: 0 rg: 23 | total time: 0.49m | eta: 58.1m
step 00025/01680 (1.49%) | loss: 6.665809 | lrm: 0.65 | dt: 2107.52ms | tok/sec: 248,770 | bf16_mfu: 60.57 | epoch: 1 pq: 0 rg: 24 | total time: 0.53m | eta: 58.1m
step 00026/01680 (1.55%) | loss: 6.585345 | lrm: 0.68 | dt: 2107.48ms | tok/sec: 248,774 | bf16_mfu: 60.57 | epoch: 1 pq: 0 rg: 25 | total time: 0.56m | eta: 58.1m
step 00027/01680 (1.61%) | loss: 6.522042 | lrm: 0.70 | dt: 2107.00ms | tok/sec: 248,831 | bf16_mfu: 60.59 | epoch: 1 pq: 0 rg: 26 | total time: 0.60m | eta: 58.0m
step 00028/01680 (1.67%) | loss: 6.458478 | lrm: 0.72 | dt: 2106.44ms | tok/sec: 248,897 | bf16_mfu: 60.60 | epoch: 1 pq: 0 rg: 27 | total time: 0.63m | eta: 58.0m
step 00029/01680 (1.73%) | loss: 6.402136 | lrm: 0.75 | dt: 2109.88ms | tok/sec: 248,492 | bf16_mfu: 60.51 | epoch: 1 pq: 0 rg: 27 | total time: 0.67m | eta: 58.0m
step 00030/01680 (1.79%) | loss: 6.347637 | lrm: 0.78 | dt: 2109.10ms | tok/sec: 248,583 | bf16_mfu: 60.53 | epoch: 1 pq: 0 rg: 28 | total time: 0.70m | eta: 57.9m
step 00031/01680 (1.85%) | loss: 6.290113 | lrm: 0.80 | dt: 2108.51ms | tok/sec: 248,653 | bf16_mfu: 60.55 | epoch: 1 pq: 0 rg: 29 | total time: 0.74m | eta: 57.9m
step 00032/01680 (1.90%) | loss: 6.241154 | lrm: 0.82 | dt: 2109.87ms | tok/sec: 248,493 | bf16_mfu: 60.51 | epoch: 1 pq: 0 rg: 30 | total time: 0.77m | eta: 57.9m
step 00033/01680 (1.96%) | loss: 6.192066 | lrm: 0.85 | dt: 2106.12ms | tok/sec: 248,935 | bf16_mfu: 60.61 | epoch: 1 pq: 0 rg: 31 | total time: 0.81m | eta: 57.8m
step 00034/01680 (2.02%) | loss: 6.155478 | lrm: 0.88 | dt: 2106.66ms | tok/sec: 248,871 | bf16_mfu: 60.60 | epoch: 1 pq: 0 rg: 32 | total time: 0.84m | eta: 57.8m
step 00035/01680 (2.08%) | loss: 6.111156 | lrm: 0.90 | dt: 2107.38ms | tok/sec: 248,786 | bf16_mfu: 60.58 | epoch: 1 pq: 0 rg: 33 | total time: 0.88m | eta: 57.8m
step 00036/01680 (2.14%) | loss: 6.070661 | lrm: 0.93 | dt: 2107.57ms | tok/sec: 248,763 | bf16_mfu: 60.57 | epoch: 1 pq: 0 rg: 34 | total time: 0.91m | eta: 57.7m
step 00037/01680 (2.20%) | loss: 6.034107 | lrm: 0.95 | dt: 2109.77ms | tok/sec: 248,504 | bf16_mfu: 60.51 | epoch: 1 pq: 0 rg: 35 | total time: 0.95m | eta: 57.7m
step 00038/01680 (2.26%) | loss: 5.997501 | lrm: 0.97 | dt: 2106.16ms | tok/sec: 248,930 | bf16_mfu: 60.61 | epoch: 1 pq: 0 rg: 36 | total time: 0.98m | eta: 57.7m
step 00039/01680 (2.32%) | loss: 5.963269 | lrm: 1.00 | dt: 2111.08ms | tok/sec: 248,350 | bf16_mfu: 60.47 | epoch: 1 pq: 0 rg: 37 | total time: 1.02m | eta: 57.6m
step 00040/01680 (2.38%) | loss: 5.930922 | lrm: 1.00 | dt: 2109.38ms | tok/sec: 248,551 | bf16_mfu: 60.52 | epoch: 1 pq: 0 rg: 38 | total time: 1.05m | eta: 57.6m
step 00041/01680 (2.44%) | loss: 5.901347 | lrm: 1.00 | dt: 2104.96ms | tok/sec: 249,072 | bf16_mfu: 60.65 | epoch: 1 pq: 0 rg: 39 | total time: 1.09m | eta: 57.6m
step 00042/01680 (2.50%) | loss: 5.875688 | lrm: 1.00 | dt: 2107.30ms | tok/sec: 248,796 | bf16_mfu: 60.58 | epoch: 1 pq: 0 rg: 39 | total time: 1.12m | eta: 57.5m
step 00043/01680 (2.56%) | loss: 5.840347 | lrm: 1.00 | dt: 2109.89ms | tok/sec: 248,490 | bf16_mfu: 60.51 | epoch: 1 pq: 0 rg: 40 | total time: 1.16m | eta: 57.5m
step 00044/01680 (2.62%) | loss: 5.805317 | lrm: 1.00 | dt: 2109.22ms | tok/sec: 248,569 | bf16_mfu: 60.52 | epoch: 1 pq: 0 rg: 41 | total time: 1.19m | eta: 57.5m
step 00045/01680 (2.68%) | loss: 5.772161 | lrm: 1.00 | dt: 2108.27ms | tok/sec: 248,681 | bf16_mfu: 60.55 | epoch: 1 pq: 0 rg: 42 | total time: 1.23m | eta: 57.4m
step 00046/01680 (2.74%) | loss: 5.739339 | lrm: 1.00 | dt: 2107.57ms | tok/sec: 248,764 | bf16_mfu: 60.57 | epoch: 1 pq: 0 rg: 43 | total time: 1.26m | eta: 57.4m
step 00047/01680 (2.80%) | loss: 5.710263 | lrm: 1.00 | dt: 2111.57ms | tok/sec: 248,293 | bf16_mfu: 60.46 | epoch: 1 pq: 0 rg: 44 | total time: 1.30m | eta: 57.4m
step 00048/01680 (2.86%) | loss: 5.685339 | lrm: 1.00 | dt: 2107.57ms | tok/sec: 248,764 | bf16_mfu: 60.57 | epoch: 1 pq: 0 rg: 45 | total time: 1.33m | eta: 57.3m
step 00049/01680 (2.92%) | loss: 5.654626 | lrm: 1.00 | dt: 2114.52ms | tok/sec: 247,946 | bf16_mfu: 60.37 | epoch: 1 pq: 0 rg: 46 | total time: 1.37m | eta: 57.3m
step 00050/01680 (2.98%) | loss: 5.623155 | lrm: 1.00 | dt: 2111.44ms | tok/sec: 248,307 | bf16_mfu: 60.46 | epoch: 1 pq: 0 rg: 47 | total time: 1.41m | eta: 57.3m
step 00051/01680 (3.04%) | loss: 5.599419 | lrm: 1.00 | dt: 2109.63ms | tok/sec: 248,521 | bf16_mfu: 60.51 | epoch: 1 pq: 0 rg: 48 | total time: 1.44m | eta: 57.2m
step 00052/01680 (3.10%) | loss: 5.571169 | lrm: 1.00 | dt: 2109.93ms | tok/sec: 248,485 | bf16_mfu: 60.50 | epoch: 1 pq: 0 rg: 49 | total time: 1.48m | eta: 57.2m
step 00053/01680 (3.15%) | loss: 5.543757 | lrm: 1.00 | dt: 2107.27ms | tok/sec: 248,799 | bf16_mfu: 60.58 | epoch: 1 pq: 0 rg: 50 | total time: 1.51m | eta: 57.2m
step 00054/01680 (3.21%) | loss: 5.519739 | lrm: 1.00 | dt: 2108.45ms | tok/sec: 248,660 | bf16_mfu: 60.55 | epoch: 1 pq: 0 rg: 50 | total time: 1.55m | eta: 57.1m
