step 00619/01680 (36.85%) | loss: 3.239312 | lrm: 0.97 | dt: 2140.39ms | tok/sec: 244,949 | bf16_mfu: 59.64 | epoch: 1 pq: 6 rg: 73 | total time: 21.65m | eta: 37.7m
step 00620/01680 (36.90%) | loss: 3.237569 | lrm: 0.97 | dt: 2133.90ms | tok/sec: 245,694 | bf16_mfu: 59.82 | epoch: 1 pq: 6 rg: 73 | total time: 21.68m | eta: 37.7m
step 00621/01680 (36.96%) | loss: 3.243393 | lrm: 0.97 | dt: 2136.51ms | tok/sec: 245,394 | bf16_mfu: 59.75 | epoch: 1 pq: 6 rg: 74 | total time: 21.72m | eta: 37.6m
step 00622/01680 (37.02%) | loss: 3.242049 | lrm: 0.97 | dt: 2138.53ms | tok/sec: 245,163 | bf16_mfu: 59.70 | epoch: 1 pq: 6 rg: 75 | total time: 21.75m | eta: 37.6m
step 00623/01680 (37.08%) | loss: 3.245691 | lrm: 0.97 | dt: 2139.88ms | tok/sec: 245,008 | bf16_mfu: 59.66 | epoch: 1 pq: 6 rg: 76 | total time: 21.79m | eta: 37.6m
step 00624/01680 (37.14%) | loss: 3.247010 | lrm: 0.97 | dt: 2130.51ms | tok/sec: 246,085 | bf16_mfu: 59.92 | epoch: 1 pq: 6 rg: 77 | total time: 21.83m | eta: 37.5m
step 00625/01680 (37.20%) | loss: 3.240387 | lrm: 0.97 | dt: 2140.41ms | tok/sec: 244,947 | bf16_mfu: 59.64 | epoch: 1 pq: 6 rg: 78 | total time: 21.86m | eta: 37.5m
step 00626/01680 (37.26%) | loss: 3.240711 | lrm: 0.97 | dt: 2140.28ms | tok/sec: 244,961 | bf16_mfu: 59.65 | epoch: 1 pq: 6 rg: 79 | total time: 21.90m | eta: 37.5m
step 00627/01680 (37.32%) | loss: 3.244669 | lrm: 0.97 | dt: 2133.56ms | tok/sec: 245,733 | bf16_mfu: 59.83 | epoch: 1 pq: 6 rg: 80 | total time: 21.93m | eta: 37.4m
step 00628/01680 (37.38%) | loss: 3.231039 | lrm: 0.97 | dt: 2133.20ms | tok/sec: 245,775 | bf16_mfu: 59.84 | epoch: 1 pq: 6 rg: 81 | total time: 21.97m | eta: 37.4m
step 00629/01680 (37.44%) | loss: 3.228729 | lrm: 0.96 | dt: 2134.31ms | tok/sec: 245,647 | bf16_mfu: 59.81 | epoch: 1 pq: 7 rg: 0 | total time: 22.00m | eta: 37.4m
step 00630/01680 (37.50%) | loss: 3.229263 | lrm: 0.96 | dt: 2141.76ms | tok/sec: 244,793 | bf16_mfu: 59.61 | epoch: 1 pq: 7 rg: 1 | total time: 22.04m | eta: 37.3m
step 00631/01680 (37.56%) | loss: 3.231260 | lrm: 0.96 | dt: 2139.05ms | tok/sec: 245,103 | bf16_mfu: 59.68 | epoch: 1 pq: 7 rg: 2 | total time: 22.07m | eta: 37.3m
step 00632/01680 (37.62%) | loss: 3.236364 | lrm: 0.96 | dt: 2134.56ms | tok/sec: 245,618 | bf16_mfu: 59.81 | epoch: 1 pq: 7 rg: 3 | total time: 22.11m | eta: 37.3m
